sensor_type,date,recorded
dws2_p3:sensormultilevel::batterylevel:, 2/5/2016 1:54:32 AM,0
ms_p3:sensor:, 2/5/2016 1:54:41 AM,255
ms_p3:sensor:, 2/5/2016 1:54:43 AM,0
ms_p3:sensor:, 2/5/2016 1:54:56 AM,255
ms_p3:sensor:, 2/5/2016 1:54:58 AM,0
ms_p3:sensor:, 2/5/2016 1:55:21 AM,255
ms_p3:sensor:, 2/5/2016 1:55:23 AM,0
ms_p3:sensor:, 2/5/2016 1:55:36 AM,255
ms_p3:sensor:, 2/5/2016 1:55:38 AM,0
ms_p3:sensor:, 2/5/2016 1:55:52 AM,255
ms_p3:sensor:, 2/5/2016 1:55:54 AM,0
ms_p3:sensor:, 2/5/2016 1:56:10 AM,255
ms_p3:sensor:, 2/5/2016 1:56:12 AM,0
ms_p3:sensor:, 2/5/2016 1:56:26 AM,255
ms_p3:sensor:, 2/5/2016 1:56:28 AM,0
ms_p3:sensor:, 2/5/2016 1:57:19 AM,255
ms_p3:sensor:, 2/5/2016 1:57:21 AM,0
ms_p3:sensor:, 2/5/2016 1:58:02 AM,255
ms_p3:sensor:, 2/5/2016 1:58:04 AM,0
ms_p3:sensor:, 2/5/2016 1:58:18 AM,255
ms_p3:sensor:, 2/5/2016 1:58:20 AM,0
ms_p3:sensor:, 2/5/2016 2:02:19 AM,255
ms_p3:sensor:, 2/5/2016 2:02:21 AM,0
ms_p3:sensor:, 2/5/2016 2:03:28 AM,255
ms_p3:sensor:, 2/5/2016 2:03:30 AM,0
ms_p3:sensor:, 2/5/2016 2:03:49 AM,255
ms_p3:sensor:, 2/5/2016 2:03:51 AM,0
ms_p3:sensor:, 2/5/2016 2:04:06 AM,255
ms_p3:sensor:, 2/5/2016 2:04:09 AM,0
ms_p3:sensor:, 2/5/2016 2:04:22 AM,255
ms_p3:sensor:, 2/5/2016 2:04:24 AM,0
ms_p3:sensor:, 2/5/2016 2:04:43 AM,255
ms_p3:sensor:, 2/5/2016 2:04:45 AM,0
ms_p3:sensor:, 2/5/2016 2:05:00 AM,255
ms_p3:sensor:, 2/5/2016 2:05:02 AM,0
ms_p3:sensor:, 2/5/2016 2:05:16 AM,255
ms_p3:sensor:, 2/5/2016 2:05:18 AM,0
ms_p3:sensor:, 2/5/2016 2:05:31 AM,255
ms_p3:sensor:, 2/5/2016 2:05:33 AM,0
ms_p3:sensor:, 2/5/2016 2:05:46 AM,255
ms_p3:sensor:, 2/5/2016 2:05:48 AM,0
ms_p3:sensor:, 2/5/2016 2:06:14 AM,255
ms_p3:sensor:, 2/5/2016 2:06:17 AM,0
ms_p3:sensor:, 2/5/2016 2:06:32 AM,255
ms_p3:sensor:, 2/5/2016 2:06:34 AM,0
ms_p3:sensor:, 2/5/2016 2:06:47 AM,255
ms_p3:sensor:, 2/5/2016 2:06:49 AM,0
ms_p3:sensor:, 2/5/2016 2:07:02 AM,255
ms_p3:sensor:, 2/5/2016 2:07:04 AM,0
ms_p3:sensor:, 2/5/2016 2:07:31 AM,255
ms_p3:sensor:, 2/5/2016 2:07:33 AM,0
ms_p3:sensor:, 2/5/2016 2:07:57 AM,255
ms_p3:sensor:, 2/5/2016 2:07:59 AM,0
ms_p3:sensor:, 2/5/2016 2:08:13 AM,255
ms_p3:sensor:, 2/5/2016 2:08:15 AM,0
ms_p3:sensor:, 2/5/2016 2:08:27 AM,255
ms_p3:sensor:, 2/5/2016 2:08:29 AM,0
ms_p3:sensor:, 2/5/2016 2:08:42 AM,255
ms_p3:sensor:, 2/5/2016 2:08:44 AM,0
ms_p3:sensor:, 2/5/2016 2:09:13 AM,255
ms_p3:sensor:, 2/5/2016 2:09:15 AM,0
ms_p3:sensor:, 2/5/2016 2:09:45 AM,255
ms_p3:sensor:, 2/5/2016 2:09:47 AM,0
ms_p3:sensor:, 2/5/2016 2:10:03 AM,255
ms_p3:sensor:, 2/5/2016 2:10:05 AM,0
ms_p3:sensor:, 2/5/2016 2:10:29 AM,255
ms_p3:sensor:, 2/5/2016 2:10:31 AM,0
ms_p3:sensor:, 2/5/2016 2:11:25 AM,255
ms_p3:sensor:, 2/5/2016 2:11:27 AM,0
ms_p3:sensor:, 2/5/2016 2:11:52 AM,255
ms_p3:sensor:, 2/5/2016 2:11:54 AM,0
ms_p3:sensor:, 2/5/2016 2:13:01 AM,255
ms_p3:sensor:, 2/5/2016 2:13:03 AM,0
ms_p3:sensor:, 2/5/2016 2:13:53 AM,255
ms_p3:sensor:, 2/5/2016 2:13:55 AM,0
ms_p3:sensor:, 2/5/2016 2:14:25 AM,255
ms_p3:sensor:, 2/5/2016 2:14:28 AM,0
ms_p3:sensor:, 2/5/2016 2:14:46 AM,255
ms_p3:sensor:, 2/5/2016 2:14:48 AM,0
ms_p3:sensor:, 2/5/2016 2:15:02 AM,255
ms_p3:sensor:, 2/5/2016 2:15:04 AM,0
ms_p3:sensor:, 2/5/2016 2:15:17 AM,255
ms_p3:sensor:, 2/5/2016 2:15:20 AM,0
ms_p3:sensor:, 2/5/2016 2:15:33 AM,255
ms_p3:sensor:, 2/5/2016 2:15:35 AM,0
ms_p3:sensor:, 2/5/2016 2:18:29 AM,255
ms_p3:sensor:, 2/5/2016 2:18:31 AM,0
ms_p3:sensor:, 2/5/2016 2:18:44 AM,255
ms_p3:sensor:, 2/5/2016 2:18:46 AM,0
ms_p3:sensor:, 2/5/2016 2:18:58 AM,255
ms_p3:sensor:, 2/5/2016 2:19:00 AM,0
ms_p3:sensor:, 2/5/2016 2:19:12 AM,255
ms_p3:sensor:, 2/5/2016 2:19:14 AM,0
ms_p3:sensor:, 2/5/2016 2:19:27 AM,255
ms_p3:sensor:, 2/5/2016 2:19:29 AM,0
ms_p3:sensor:, 2/5/2016 2:19:51 AM,255
ms_p3:sensor:, 2/5/2016 2:19:53 AM,0
ms_p3:sensor:, 2/5/2016 2:20:08 AM,255
ms_p3:sensor:, 2/5/2016 2:20:10 AM,0
ms_p3:sensor:, 2/5/2016 2:20:27 AM,255
ms_p3:sensor:, 2/5/2016 2:20:29 AM,0
ms_p3:sensor:, 2/5/2016 2:20:42 AM,255
ms_p3:sensor:, 2/5/2016 2:20:44 AM,0
ms_p3:sensor:, 2/5/2016 2:20:59 AM,255
ms_p3:sensor:, 2/5/2016 2:21:01 AM,0
ms_p3:sensor:, 2/5/2016 2:21:13 AM,255
ms_p3:sensor:, 2/5/2016 2:21:16 AM,0
ms_p3:sensor:, 2/5/2016 2:21:29 AM,255
ms_p3:sensor:, 2/5/2016 2:21:31 AM,0
ms_p3:sensor:, 2/5/2016 2:21:43 AM,255
ms_p3:sensor:, 2/5/2016 2:21:45 AM,0
ms_p3:sensor:, 2/5/2016 2:29:03 AM,255
