sensor_type,date,recorded
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:37:00 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:57:02 AM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 12:01:00 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 12:13:00 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 12:17:00 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 1:05:00 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 1:09:00 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 1:17:02 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 1:29:02 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 1:57:03 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 2:01:03 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:01:02 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:05:02 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:17:02 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:21:02 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:25:02 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:29:02 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:37:02 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:45:02 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:53:02 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 12:01:02 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 12:05:02 AM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 12:13:02 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 12:21:02 AM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 12:25:02 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 12:33:02 AM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 12:45:02 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 12:49:02 AM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 12:53:02 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 12:57:02 AM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 1:17:02 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 1:21:02 AM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 1:25:02 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 1:29:02 AM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 1:37:02 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 1:41:02 AM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 1:45:02 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 1:49:02 AM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 2:05:02 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 2:09:02 AM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 2:21:02 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 2:25:02 AM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 11:01:08 AM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 11:05:07 AM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 11:13:07 AM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 11:21:07 AM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 12:53:11 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 12:57:10 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 1:05:10 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 1:09:11 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 1:21:10 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 1:25:10 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 2:01:10 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 2:05:10 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 2:41:11 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 2:45:11 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 2:53:11 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 2:57:11 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 3:13:11 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 3:21:11 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 3:25:11 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 3:57:11 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 4:05:11 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 5:01:11 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 5:05:11 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 5:13:11 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 5:17:11 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 5:21:11 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 5:25:11 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 6:17:11 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 6:25:11 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 6:29:11 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 6:33:11 PM,88
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 6:37:11 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/15/2016 6:45:11 PM,88
