sensor_type,date,recorded
multisensor:sensormultilevel::batterylevel:, 2/4/2016 6:09:45 AM,52
multisensor:sensormultilevel::batterylevel:, 2/4/2016 6:13:49 AM,53
multisensor:sensormultilevel::batterylevel:, 2/4/2016 6:17:49 AM,54
multisensor:sensormultilevel::batterylevel:, 2/4/2016 6:45:49 AM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 6:49:49 AM,54
multisensor:sensormultilevel::batterylevel:, 2/4/2016 6:53:49 AM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 6:57:49 AM,54
multisensor:sensormultilevel::batterylevel:, 2/4/2016 7:17:50 AM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 7:29:50 AM,54
multisensor:sensormultilevel::batterylevel:, 2/4/2016 7:33:50 AM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 8:21:50 AM,53
multisensor:sensormultilevel::batterylevel:, 2/4/2016 8:25:50 AM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 8:29:50 AM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 9:30:04 AM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 9:34:04 AM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 9:42:04 AM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 9:46:04 AM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 9:54:04 AM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 9:58:04 AM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 10:02:04 AM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 10:14:04 AM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 10:18:04 AM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 11:02:04 AM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 11:06:04 AM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 11:22:04 AM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 11:26:04 AM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 11:34:04 AM,54
multisensor:sensormultilevel::batterylevel:, 2/4/2016 11:38:04 AM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 11:42:04 AM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 11:46:04 AM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 11:50:04 AM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 11:54:04 AM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 11:58:04 AM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 12:02:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 12:06:04 PM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 12:10:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 12:14:04 PM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 12:18:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 12:22:04 PM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 12:26:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 12:30:04 PM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 12:34:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 12:46:04 PM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 12:50:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 12:54:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 1:06:04 PM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 1:10:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 1:30:04 PM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 1:34:04 PM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 1:38:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 1:42:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 1:46:04 PM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 1:50:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 1:54:04 PM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 1:58:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 2:02:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 2:06:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 2:10:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 2:14:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 2:18:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 2:26:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 2:30:04 PM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 2:34:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 2:38:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 2:46:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 2:50:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 3:02:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 3:06:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 3:30:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 3:34:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 3:46:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 3:50:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 3:54:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 4:02:04 PM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 4:06:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 4:30:04 PM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 4:34:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 4:54:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 4:58:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 5:26:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 5:30:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 5:34:04 PM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 5:38:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 5:46:04 PM,55
multisensor:sensormultilevel::batterylevel:, 2/4/2016 5:50:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 6:06:04 PM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 6:10:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 6:38:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 6:42:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 6:58:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 7:02:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 7:18:04 PM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 7:22:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 7:50:04 PM,59
multisensor:sensormultilevel::batterylevel:, 2/4/2016 7:54:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 8:18:04 PM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 8:22:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 8:34:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 8:46:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 8:54:04 PM,59
multisensor:sensormultilevel::batterylevel:, 2/4/2016 8:58:04 PM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 9:02:04 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 9:14:04 PM,57
multisensor:sensormultilevel::batterylevel:, 2/4/2016 9:18:05 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 9:22:05 PM,56
multisensor:sensormultilevel::batterylevel:, 2/4/2016 9:26:05 PM,58
multisensor:sensormultilevel::batterylevel:, 2/4/2016 10:26:05 PM,57
